dt,adm_cd2,adm_nm,nx,ny,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
2025-09-01 15:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,75.0,4.0,,,28.0,,2.1,226.0,2.0,-999.0,2.9
2025-09-01 16:00:00+09:00,1147064000,신정3동,57,125,,60.0,1.0,70.0,4.0,,,29.0,,2.5,229.0,2.2,-999.0,3.3
2025-09-01 17:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,70.0,4.0,,,29.0,,2.8,239.0,1.7,-999.0,3.3
2025-09-01 18:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,70.0,4.0,,,28.0,,2.4,243.0,1.2,-999.0,2.7
2025-09-01 19:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,70.0,4.0,,,27.0,,1.6,243.0,0.8,-999.0,1.8
2025-09-01 20:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,75.0,4.0,,,26.0,,1.1,234.0,0.8,-999.0,1.4
2025-09-01 21:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,80.0,4.0,,,26.0,,0.6,214.0,0.9,-999.0,1.1
2025-09-01 22:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,85.0,4.0,,,26.0,,0.1,186.0,1.0,-999.0,1.0
2025-09-01 23:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,85.0,4.0,,,25.0,,0.0,180.0,1.1,-999.0,1.1
2025-09-02 00:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,85.0,4.0,,,25.0,,0.1,186.0,0.9,-999.0,0.9
2025-09-02 01:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,24.0,,0.3,207.0,0.6,-999.0,0.7
2025-09-02 02:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,24.0,,0.4,233.0,0.3,-999.0,0.5
2025-09-02 03:00:00+09:00,1147064000,신정3동,57,125,,30.0,0.0,90.0,4.0,,,23.0,,0.4,270.0,0.0,-999.0,0.4
2025-09-02 04:00:00+09:00,1147064000,신정3동,57,125,,20.0,0.0,90.0,3.0,,,23.0,,0.2,333.0,-0.4,-999.0,0.4
2025-09-02 05:00:00+09:00,1147064000,신정3동,57,125,,20.0,0.0,90.0,3.0,,,23.0,,-0.1,63.0,-0.1,-999.0,0.2
2025-09-02 06:00:00+09:00,1147064000,신정3동,57,125,,20.0,0.0,95.0,3.0,,21.0,22.0,,-0.3,45.0,-0.4,-999.0,0.6
